;sem_1;sem_2;int_jan;int_feb;int_jun;int_jul;int_no;int_dec
84;ARBC2613;ANTH3998;;PRFM3998;;OLET5606;;
85;ARBC2671;ARBC1612;;RLST3998;;OLET5702;;
86;ARBC3200;ARBC2211;;RSCH9111;;OLET5706;;
87;ARBC3615;ARBC2614;;SCIE5001;;PERF3640;;
88;ARBC3636;ARBC2681;;SCLG3998;;PHIL1012;;
89;ARBC3691;ARBC3201;;SCPU3001;;PHIL3998;;
90;ARBC3998;ARBC3202;;SCPU4001;;PMGT5897;;
91;ARCF9001;ARBC3616;;SLSS3998;;PRFM1601;;
92;ARCO1000;ARBC3998;;SPAN3998;;PRFM2601;;
93;ARCO1002;ARCF9001;;USSC3998;;PRFM3998;;
94;ARCO2001;ARCO1001;;WILD4001;;RLST3998;;
95;ARCO2002;ARCO2008;;;;RSCH9111;;
96;ARCO2007;ARCO2011;;;;SCIE5001;;
97;ARCO2106;ARCO2101;;;;SCLG3998;;
98;ARCO3005;ARCO2103;;;;SCPU3001;;
99;ARCO3006;ARCO3002;;;;SCPU4001;;
100;ARCO3011;ARCO3003;;;;SLSS3998;;
101;ARCO3101;ARCO3004;;;;SPAN3998;;
102;ARCO3998;ARCO3007;;;;USSC1604;;
103;ARCO6002;ARCO3401;;;;USSC2604;;
104;ARCO6003;ARCO3402;;;;USSC3998;;
105;AREC3003;ARCO3403;;;;WILD4002;;
106;AREC3004;ARCO3998;;;;;;
107;AREC3005;ARCO6001;;;;;;
108;ARHT1001;AREC3002;;;;;;
109;ARHT2614;ARHT1002;;;;;;
110;ARHT2616;ARHT2618;;;;;;
111;ARHT2632;ARHT2645;;;;;;
112;ARHT2636;ARHT2671;;;;;;
113;ARHT2678;ARHT2676;;;;;;
114;ARHT3636;ARHT2677;;;;;;
115;ARHT3646;ARHT2680;;;;;;
116;ARHT3662;ARHT3617;;;;;;
117;ARHT3663;ARHT3633;;;;;;
118;ARHT3673;ARHT3675;;;;;;
119;ARHT3678;ARHT3680;;;;;;
120;ARHT3998;ARHT3998;;;;;;
121;ARHT5006;ARHT5000;;;;;;
122;ARIN2620;ARIN1001;;;;;;
123;ARIN3610;ARIN2610;;;;;;
124;ARIN3640;ARIN3620;;;;;;
125;ASNS1200;ARIN3630;;;;;;
126;ASNS1602;ASNS1201;;;;;;
127;ASNS2002;ASNS1601;;;;;;
128;ASNS2004;ASNS2003;;;;;;
129;ASNS2011;ASNS2613;;;;;;
130;ASNS2618;ASNS2642;;;;;;
131;ASNS2634;ASNS2661;;;;;;
132;ASNS2663;ASNS2665;;;;;;
133;ASNS3616;ASNS2672;;;;;;
134;ASNS3670;ASNS3001;;;;;;
135;ASNS3998;ASNS3002;;;;;;
136;ASNS6010;ASNS3111;;;;;;
137;ASNS6011;ASNS3690;;;;;;
138;ASNS6012;ASNS3998;;;;;;
139;ASNS6013;ASNS6010;;;;;;
140;AVBS1003;ASNS6011;;;;;;
141;AVBS2005;ASNS6012;;;;;;
142;AVBS2007;ASNS6013;;;;;;
143;AVBS2013;AVBS1002;;;;;;
144;AVBS3001;AVBS2001;;;;;;
145;AVBS3004;AVBS2004;;;;;;
146;AVBS3005;AVBS2013;;;;;;
147;AVBS3010;AVBS3008;;;;;;
148;AVBS4000;AVBS3009;;;;;;
149;AVBS4012;AVBS3888;;;;;;
150;AVBS4015;AVBS4000;;;;;;
151;AVBS4016;AVBS4002;;;;;;
152;AVBS4017;AVBS4015;;;;;;
153;AVBS4018;AVBS4016;;;;;;
154;BANK2011;AVBS4017;;;;;;
155;BANK3011;AVBS4018;;;;;;
156;BANK3014;AVBS4020;;;;;;
157;BBCL1001;BACH3128;;;;;;
158;BBCL2603;BACH3146;;;;;;
159;BBCL2607;BANK2011;;;;;;
160;BBCL2609;BANK3011;;;;;;
161;BBCL3998;BANK3012;;;;;;
162;BCMB2001;BANK3013;;;;;;
163;BCMB2901;BBCL1002;;;;;;
164;BCMB3001;BBCL2610;;;;;;
165;BCMB3002;BBCL3601;;;;;;
166;BCMB3901;BBCL3602;;;;;;
167;BCMB3902;BBCL3998;;;;;;
168;BCMB4103;BCMB2002;;;;;;
169;BCMB4104;BCMB2902;;;;;;
170;BCMB4105;BCMB3003;;;;;;
171;BCMB4106;BCMB3004;;;;;;
172;BCMB4107;BCMB3888;;;;;;
173;BCMB4108;BCMB3903;;;;;;
174;BETH5204;BCMB3904;;;;;;
175;BIOL1006;BCMB4103;;;;;;
176;BIOL1008;BCMB4104;;;;;;
177;BIOL1906;BCMB4105;;;;;;
178;BIOL1908;BCMB4106;;;;;;
179;BIOL1996;BCMB4107;;;;;;
180;BIOL1998;BCMB4108;;;;;;
181;BIOL2021;BETH5202;;;;;;
182;BIOL2029;BETH5203;;;;;;
183;BIOL2030;BIOL1007;;;;;;
184;BIOL2921;BIOL1907;;;;;;
185;BIOL2929;BIOL1997;;;;;;
186;BIOL2930;BIOL2022;;;;;;
187;BIOL3005;BIOL2024;;;;;;
188;BIOL3018;BIOL2031;;;;;;
189;BIOL3019;BIOL2032;;;;;;
190;BIOL3020;BIOL2033;;;;;;
191;BIOL3026;BIOL2924;;;;;;
192;BIOL3034;BIOL3004;;;;;;
193;BIOL3045;BIOL3007;;;;;;
194;BIOL3046;BIOL3013;;;;;;
195;BIOL3918;BIOL3033;;;;;;
196;BIOL3926;BIOL3888;;;;;;
197;BIOL3945;BIOL3907;;;;;;
198;BIOL3946;BIOL3913;;;;;;
199;BIOL4103;BIOL4103;;;;;;
200;BIOL4104;BIOL4104;;;;;;
201;BIOL4105;BIOL4105;;;;;;
202;BIOL4106;BIOL4106;;;;;;
203;BIOL4107;BIOL4107;;;;;;
204;BIOL4108;BIOL4108;;;;;;
205;BIOS1168;BIOS1168;;;;;;
206;BIOS1169;BIOS1169;;;;;;
207;BIOS2170;BIOS2171;;;;;;
208;BMET2400;BIOS3065;;;;;;
209;BMET2903;BMET1961;;;;;;
210;BMET2925;BMET2922;;;;;;
211;BMET2960;BMET4111;;;;;;
212;BMET4111;BMET4112;;;;;;
213;BMET4112;BMET5907;;;;;;
214;BMET5911;BMET5944;;;;;;
215;BMET5931;BMET5957;;;;;;
216;BMET5933;BMET5958;;;;;;
217;BMET5953;BMET5962;;;;;;
218;BMET5995;BMET5992;;;;;;
219;BMET9921;BMET8790;;;;;;
220;BMET9925;BMET9802;;;;;;
221;BSTA5002;BMET9921;;;;;;
222;BSTA5007;BSTA5002;;;;;;
223;BSTA5023;BSTA5007;;;;;;
224;BUSS1020;BUSS1020;;;;;;
225;BUSS1030;BUSS1030;;;;;;
226;BUSS1040;BUSS1040;;;;;;
227;BUSS4900;BUSS4906;;;;;;
228;BUSS4902;BUSS4910;;;;;;
229;BUSS4906;BUSS4911;;;;;;
230;BUSS4910;BUSS4912;;;;;;
231;BUSS4920;BUSS4915;;;;;;
232;BUSS4921;BUSS4916;;;;;;
233;BUSS4931;BUSS4917;;;;;;
234;BUSS4932;BUSS4920;;;;;;
235;BUSS4940;BUSS4921;;;;;;
236;BUSS7901;BUSS4933;;;;;;
237;BUSS7902;BUSS4934;;;;;;
238;BUSS7903;BUSS7901;;;;;;
239;BUSS7910;BUSS7902;;;;;;
240;CAEL1002;BUSS7903;;;;;;
241;CAEL2039;BUSS7904;;;;;;
242;CAEL2042;BUSS7906;;;;;;
243;CAEL2045;BUSS7910;;;;;;
244;CAEL2046;CAEL1001;;;;;;
245;CAEL2048;CAEL2041;;;;;;
246;CAEL2049;CAEL2044;;;;;;
247;CAEL2055;CAEL2047;;;;;;
248;CAEL2072;CAEL2049;;;;;;
249;CAEL2076;CAEL2053;;;;;;
250;CAEL2080;CAEL2054;;;;;;
251;CAEL2085;CAEL2069;;;;;;
252;CAEL2092;CAEL2072;;;;;;
253;CAEL2094;CAEL2081;;;;;;
254;CAEL2098;CAEL2085;;;;;;
255;CAEL2101;CAEL2093;;;;;;
256;CAEL2102;CAEL2095;;;;;;
257;CAEL3014;CAEL2096;;;;;;
258;CAEL3015;CAEL2098;;;;;;
259;CAEL3020;CAEL2101;;;;;;
260;CAEL3021;CAEL2102;;;;;;
261;CAEL3022;CAEL3015;;;;;;
262;CAEL3998;CAEL3016;;;;;;
263;CART7006;CAEL3017;;;;;;
264;CAVA1001;CAEL3018;;;;;;
265;CAVA1002;CAEL3998;;;;;;
266;CAVA4001;CAVA1001;;;;;;
267;CELL4103;CAVA1002;;;;;;
268;CELL4104;CAVA4001;;;;;;
269;CELL4105;CELL4103;;;;;;
270;CELL4106;CELL4104;;;;;;
271;CELL4107;CELL4105;;;;;;
272;CELL4108;CELL4106;;;;;;
273;CEPI5100;CELL4107;;;;;;
274;CEPI5300;CELL4108;;;;;;
275;CEPI5315;CEPI5100;;;;;;
276;CHEM1011;CEPI5215;;;;;;
277;CHEM1111;CHEM1012;;;;;;
278;CHEM1112;CHEM1111;;;;;;
279;CHEM1911;CHEM1112;;;;;;
280;CHEM1991;CHEM1912;;;;;;
281;CHEM2521;CHEM1992;;;;;;
282;CHEM2522;CHEM2523;;;;;;
283;CHEM2532;CHEM2524;;;;;;
284;CHEM2921;CHEM2533;;;;;;
285;CHEM2922;CHEM2534;;;;;;
286;CHEM2991;CHEM2923;;;;;;
287;CHEM3118;CHEM2924;;;;;;
288;CHEM3119;CHEM3121;;;;;;
289;CHEM3120;CHEM3122;;;;;;
290;CHEM3918;CHEM3123;;;;;;
291;CHEM3919;CHEM3888;;;;;;
292;CHEM3920;CHEM3921;;;;;;
293;CHEM4101;CHEM3922;;;;;;
294;CHEM4103;CHEM3923;;;;;;
295;CHEM4104;CHEM4101;;;;;;
296;CHEM4105;CHEM4103;;;;;;
297;CHEM4106;CHEM4104;;;;;;
298;CHEM4107;CHEM4105;;;;;;
299;CHEM4108;CHEM4106;;;;;;
300;CHEM5101;CHEM4107;;;;;;
301;CHNG1108;CHEM4108;;;;;;
302;CHNG2801;CHEM5102;;;;;;
303;CHNG2803;CHNG1103;;;;;;
304;CHNG3808;CHNG1106;;;;;;
