;sem_1;sem_2;int_jan;int_feb;int_jun;int_jul;int_no;int_dec
568;ENSE2604;ENVI4106;;;;;;
569;ENVI3111;ENVI4107;;;;;;
570;ENVI3911;ENVI4108;;;;;;
571;ENVI4101;ENVI5809;;;;;;
572;ENVI4103;ENVI5904;;;;;;
573;ENVI4104;ENVX3001;;;;;;
574;ENVI4105;ENVX3003;;;;;;
575;ENVI4106;ENVX4103;;;;;;
576;ENVI4107;ENVX4104;;;;;;
577;ENVI4108;ENVX4105;;;;;;
578;ENVI5801;ENVX4106;;;;;;
579;ENVX1002;EUST1002;;;;;;
580;ENVX2001;EUST2010;;;;;;
581;ENVX3002;EUST2601;;;;;;
582;ENVX4001;EUST3001;;;;;;
583;ENVX4103;EUST3998;;;;;;
584;ENVX4104;EUST7010;;;;;;
585;ENVX4105;EUST7011;;;;;;
586;ENVX4106;EUST7012;;;;;;
587;EUST1001;EUST7013;;;;;;
588;EUST2005;EXSS2030;;;;;;
589;EUST2617;EXSS3062;;;;;;
590;EUST3006;EXSS4103;;;;;;
591;EUST3111;EXSS4104;;;;;;
592;EUST3998;EXSS4105;;;;;;
593;EUST7010;EXSS4106;;;;;;
594;EUST7011;EXSS4107;;;;;;
595;EUST7012;EXSS4108;;;;;;
596;EUST7013;FASS3500;;;;;;
597;EXSS3061;FASS4902;;;;;;
598;EXSS3062;FILM1001;;;;;;
599;EXSS4103;FILM2000;;;;;;
600;EXSS4104;FILM3000;;;;;;
601;EXSS4105;FILM3001;;;;;;
602;EXSS4106;FILM3998;;;;;;
603;EXSS4107;FINC2011;;;;;;
604;EXSS4108;FINC2012;;;;;;
605;FASS3500;FINC3012;;;;;;
606;FASS4902;FINC3013;;;;;;
607;FILM1000;FINC3014;;;;;;
608;FILM2001;FINC3017;;;;;;
609;FILM3002;FINC3019;;;;;;
610;FILM3003;FINC3020;;;;;;
611;FILM3004;FINC3302;;;;;;
612;FILM3998;FMAT3888;;;;;;
613;FINC2011;FMAT4103;;;;;;
614;FINC2012;FMAT4104;;;;;;
615;FINC3011;FMAT4105;;;;;;
616;FINC3015;FMAT4106;;;;;;
617;FINC3017;FMHU2000;;;;;;
618;FINC3301;FMHU3000;;;;;;
619;FMAT4103;FMHU3002;;;;;;
620;FMAT4104;FMHU5003;;;;;;
621;FMAT4105;FOOD2000;;;;;;
622;FMAT4106;FOOD3000;;;;;;
623;FMHU2000;FOOD3888;;;;;;
624;FMHU3001;FOOD4103;;;;;;
625;FMHU5001;FOOD4104;;;;;;
626;FMHU5002;FOOD4105;;;;;;
627;FMHU5004;FOOD4106;;;;;;
628;FOOD3001;FRNC1602;;;;;;
629;FOOD3002;FRNC2100;;;;;;
630;FOOD4002;FRNC2101;;;;;;
631;FOOD4103;FRNC2604;;;;;;
632;FOOD4104;FRNC2625;;;;;;
633;FOOD4105;FRNC2680;;;;;;
634;FOOD4106;FRNC3002;;;;;;
635;FRNC1601;FRNC3200;;;;;;
636;FRNC2200;FRNC3300;;;;;;
637;FRNC2300;FRNC3606;;;;;;
638;FRNC2603;FRNC3634;;;;;;
639;FRNC2627;FRNC3690;;;;;;
640;FRNC2693;FRNC3998;;;;;;
641;FRNC3001;GCST1603;;;;;;
642;FRNC3100;GCST1604;;;;;;
643;FRNC3101;GCST2603;;;;;;
644;FRNC3605;GCST2610;;;;;;
645;FRNC3633;GCST2612;;;;;;
646;FRNC3653;GCST3604;;;;;;
647;FRNC3998;GCST3637;;;;;;
648;GCST1601;GCST3998;;;;;;
649;GCST1602;GCST5002;;;;;;
650;GCST2605;GCST5003;;;;;;
651;GCST2607;GCST5910;;;;;;
652;GCST2630;GCST6905;;;;;;
653;GCST3631;GEGE2001;;;;;;
654;GCST3633;GEGE2901;;;;;;
655;GCST3634;GEGE3004;;;;;;
656;GCST3636;GEGE3888;;;;;;
657;GCST3998;GEGE4103;;;;;;
658;GCST5001;GEGE4104;;;;;;
659;GEGE4103;GEGE4105;;;;;;
660;GEGE4104;GEGE4106;;;;;;
661;GEGE4105;GEGE4107;;;;;;
662;GEGE4106;GEGE4108;;;;;;
663;GEGE4107;GEOG3888;;;;;;
664;GEGE4108;GEOG4103;;;;;;
665;GEOG4103;GEOG4104;;;;;;
666;GEOG4104;GEOG4105;;;;;;
667;GEOG4105;GEOG4106;;;;;;
668;GEOG4106;GEOG4107;;;;;;
669;GEOG4107;GEOG4108;;;;;;
670;GEOG4108;GEOG4111;;;;;;
671;GEOG4111;GEOL3888;;;;;;
672;GEOG5001;GEOL4101;;;;;;
673;GEOL4101;GEOL4102;;;;;;
674;GEOL4102;GEOL4103;;;;;;
675;GEOL4103;GEOL4104;;;;;;
676;GEOL4104;GEOL4105;;;;;;
677;GEOL4105;GEOL4106;;;;;;
678;GEOL4106;GEOL4107;;;;;;
679;GEOL4107;GEOL4108;;;;;;
680;GEOL4108;GEOP4103;;;;;;
681;GEOP4103;GEOP4104;;;;;;
682;GEOP4104;GEOP4105;;;;;;
683;GEOP4105;GEOP4106;;;;;;
684;GEOP4106;GEOP4107;;;;;;
685;GEOP4107;GEOP4108;;;;;;
686;GEOP4108;GEOS1002;;;;;;
687;GEOS1001;GEOS1003;;;;;;
688;GEOS1901;GEOS1902;;;;;;
689;GEOS2114;GEOS1903;;;;;;
690;GEOS2115;GEOS2111;;;;;;
691;GEOS2121;GEOS2116;;;;;;
692;GEOS2123;GEOS2124;;;;;;
693;GEOS2914;GEOS2911;;;;;;
694;GEOS2915;GEOS2916;;;;;;
695;GEOS2921;GEOS2924;;;;;;
696;GEOS2923;GEOS3014;;;;;;
697;GEOS3009;GEOS3524;;;;;;
698;GEOS3101;GEOS3914;;;;;;
699;GEOS3103;GEOS3924;;;;;;
700;GEOS3520;GEOS4888;;;;;;
701;GEOS3801;GLOH5201;;;;;;
702;GEOS3803;GOVT1621;;;;;;
703;GEOS3909;GOVT1641;;;;;;
704;GEOS3920;GOVT1661;;;;;;
705;GEOS4888;GOVT2225;;;;;;
706;GOVT1621;GOVT2226;;;;;;
707;GOVT1641;GOVT2603;;;;;;
708;GOVT1661;GOVT2921;;;;;;
709;GOVT2112;GOVT2941;;;;;;
710;GOVT2119;GOVT2991;;;;;;
711;GOVT2228;GOVT3631;;;;;;
712;GOVT2921;GOVT3641;;;;;;
713;GOVT2941;GOVT3653;;;;;;
714;GOVT2991;GOVT3672;;;;;;
715;GOVT3651;GOVT3898;;;;;;
716;GOVT3655;GOVT3980;;;;;;
717;GOVT3665;GOVT3986;;;;;;
718;GOVT3671;GOVT3987;;;;;;
719;GOVT3898;GOVT3995;;;;;;
720;GOVT3980;GOVT3997;;;;;;
721;GOVT3989;GOVT3998;;;;;;
722;GOVT3993;GRKA1601;;;;;;
723;GOVT3999;GRKA2601;;;;;;
724;GOVT6139;GRKA2621;;;;;;
725;GRKA1600;GRKA3008;;;;;;
726;GRKA2600;GRKA3602;;;;;;
727;GRKA2620;GRKA3605;;;;;;
728;GRKA3007;GRKA3998;;;;;;
729;GRKA3009;GRKA7002;;;;;;
730;GRKA3603;GRMN1002;;;;;;
731;GRKA3604;GRMN2004;;;;;;
732;GRKA3998;GRMN3006;;;;;;
733;GRKA7001;GRMN3008;;;;;;
734;GRMN1001;GRMN3010;;;;;;
735;GRMN2003;GRMN3011;;;;;;
736;GRMN2633;GRMN3998;;;;;;
737;GRMN3005;HBRW1102;;;;;;
738;GRMN3007;HBRW1112;;;;;;
739;GRMN3009;HBRW2604;;;;;;
740;GRMN3015;HBRW2632;;;;;;
741;GRMN3611;HBRW3601;;;;;;
742;GRMN3682;HBRW3602;;;;;;
743;GRMN3998;HBRW3611;;;;;;
744;HBRW1011;HBRW3613;;;;;;
745;HBRW1111;HBRW3998;;;;;;
746;HBRW2603;HBRW6902;;;;;;
747;HBRW2623;HPSC1001;;;;;;
748;HBRW2625;HPSC1901;;;;;;
749;HBRW2631;HPSC2011;;;;;;
750;HBRW3610;HPSC3002;;;;;;
751;HBRW3612;HPSC3016;;;;;;
752;HBRW3998;HPSC3888;;;;;;
753;HBRW6901;HPSC4102;;;;;;
754;HORT3005;HPSC4103;;;;;;
755;HPSC1000;HPSC4104;;;;;;
756;HPSC1900;HPSC4108;;;;;;
757;HPSC2100;HPSC4201;;;;;;
758;HPSC2900;HPSC4202;;;;;;
759;HPSC3023;HPSC4203;;;;;;
760;HPSC3108;HPSC4204;;;;;;
761;HPSC4101;HPSC4888;;;;;;
762;HPSC4104;HSBH1005;;;;;;
763;HPSC4105;HSBH1013;;;;;;
764;HPSC4108;HSBH2009;;;;;;
765;HPSC4201;HSBH3001;;;;;;
766;HPSC4202;HSBH3003;;;;;;
767;HPSC4203;HSBH3009;;;;;;
768;HPSC4204;HSBH3016;;;;;;
769;HSBH1003;HSBH3026;;;;;;
770;HSBH1012;HSBH4101;;;;;;
771;HSBH3001;HSBH4103;;;;;;
772;HSBH3004;HSBH4104;;;;;;
773;HSBH3011;HSBH4105;;;;;;
774;HSBH3015;HSBH4106;;;;;;
775;HSBH3022;HSBH4107;;;;;;
776;HSBH3026;HSBH4108;;;;;;
777;HSTY1002;HSTO3003;;;;;;
778;HSTY1044;HSTO3004;;;;;;
779;HSTY2607;HSTY1001;;;;;;
780;HSTY2613;HSTY1003;;;;;;
781;HSTY2616;HSTY1023;;;;;;
782;HSTY2618;HSTY2606;;;;;;
783;HSTY2626;HSTY2609;;;;;;
784;HSTY2629;HSTY2642;;;;;;
785;HSTY2631;HSTY2647;;;;;;
786;HSTY2640;HSTY2652;;;;;;
787;HSTY2656;HSTY2700;;;;;;
788;HSTY2664;HSTY2712;;;;;;
789;HSTY2677;HSTY3700;;;;;;
790;HSTY2701;HSTY3714;;;;;;
791;HSTY2717;HSTY3802;;;;;;
792;HSTY3707;HSTY3803;;;;;;
793;HSTY3709;HSTY3901;;;;;;
794;HSTY3712;HSTY3902;;;;;;
795;HSTY3713;HSTY3998;;;;;;
796;HSTY3801;IBUS1101;;;;;;
797;HSTY3804;IBUS1102;;;;;;
798;HSTY3805;IBUS2020;;;;;;
799;HSTY3806;IBUS2101;;;;;;
800;HSTY3903;IBUS2103;;;;;;
801;HSTY3998;IBUS3101;;;;;;
802;HSTY7003;IBUS3104;;;;;;
803;IBUS1101;IBUS3109;;;;;;
804;IBUS1102;IBUS3110;;;;;;
805;IBUS2020;ICLS1001;;;;;;
806;IBUS2101;ICLS2626;;;;;;
807;IBUS2103;ICLS2633;;;;;;
808;IBUS2104;ICLS3102;;;;;;
809;IBUS3101;ICLS3631;;;;;;
810;IBUS3104;ICLS3998;;;;;;
811;IBUS3109;IMMU3202;;;;;;
812;ICLS1002;IMMU3903;;;;;;
813;ICLS2621;IMMU4103;;;;;;
814;ICLS2624;IMMU4104;;;;;;
815;ICLS2635;IMMU4105;;;;;;
816;ICLS3000;IMMU4106;;;;;;
817;ICLS3101;IMMU4107;;;;;;
818;ICLS3998;IMMU4108;;;;;;
819;IMMU2011;IMPA3888;;;;;;
820;IMMU2911;INDG1002;;;;;;
821;IMMU3102;INDG2004;;;;;;
822;IMMU3902;INDG3003;;;;;;
823;IMMU4103;INDG3005;;;;;;
824;IMMU4104;INDG3998;;;;;;
825;IMMU4105;INFC7000;;;;;;
826;IMMU4106;INFD3012;;;;;;
827;IMMU4107;INFD3888;;;;;;
828;IMMU4108;INFD4103;;;;;;
829;INDG1001;INFD4104;;;;;;
830;INDG2001;INFD4105;;;;;;
831;INDG2005;INFD4106;;;;;;
832;INDG3001;INFD4107;;;;;;
833;INDG3006;INFD4108;;;;;;
834;INDG3998;INFO1110;;;;;;
835;INFD4103;INFO1113;;;;;;
836;INFD4104;INFO1910;;;;;;
837;INFD4105;INFO3315;;;;;;
838;INFD4106;INFO4990;;;;;;
839;INFD4107;INFO4994;;;;;;
840;INFD4108;INFO5993;;;;;;
841;INFO1110;INFO5994;;;;;;
842;INFO1113;INFS1000;;;;;;
843;INFO1910;INFS1020;;;;;;
844;INFO4990;INFS2010;;;;;;
845;INFO4994;INFS2040;;;;;;
846;INFO5993;INFS3050;;;;;;
847;INFO5994;INFS3080;;;;;;
848;INFS1000;INFS3110;;;;;;
849;INFS1020;INMS1102;;;;;;
850;INFS2030;INMS2602;;;;;;
851;INFS2050;INMS3602;;;;;;
852;INFS3040;INMS3608;;;;;;
853;INFS3110;INMS3610;;;;;;
854;INFS3120;INMS3612;;;;;;
855;INMS1101;INMS3998;;;;;;
856;INMS2601;ISYS2120;;;;;;
857;INMS3601;ISYS2160;;;;;;
858;INMS3607;ISYS3888;;;;;;
859;INMS3609;ITLN1612;;;;;;
860;INMS3611;ITLN2612;;;;;;
861;INMS3998;ITLN2632;;;;;;
862;ISYS2110;ITLN3403;;;;;;
863;ISYS3401;ITLN3612;;;;;;
864;ISYS5050;ITLN3662;;;;;;
865;ITLN1611;ITLN3688;;;;;;
866;ITLN2002;ITLN3694;;;;;;
867;ITLN2611;ITLN3998;;;;;;
868;ITLN2631;ITLS2000;;;;;;
869;ITLN3611;JAZZ1000;;;;;;
870;ITLN3631;JAZZ1001;;;;;;
871;ITLN3667;JAZZ1016;;;;;;
872;ITLN3679;JAZZ1020;;;;;;
873;ITLN3685;JAZZ2002;;;;;;
874;ITLN3998;JAZZ2003;;;;;;
875;JAZZ1000;JAZZ2017;;;;;;
876;JAZZ1001;JAZZ2039;;;;;;
877;JAZZ1015;JAZZ3002;;;;;;
878;JAZZ1019;JAZZ3003;;;;;;
879;JAZZ2002;JCTC1003;;;;;;
880;JAZZ2003;JCTC3001;;;;;;
881;JAZZ2016;JCTC3002;;;;;;
882;JAZZ2038;JCTC3603;;;;;;
883;JAZZ3002;JCTC3998;;;;;;
884;JAZZ3003;JCTC6100;;;;;;
885;JCTC1004;JPNS1611;;;;;;
886;JCTC2100;JPNS1612;;;;;;
887;JCTC2101;JPNS2612;;;;;;
888;JCTC3003;JPNS2672;;;;;;
889;JCTC3602;JPNS3612;;;;;;
890;JCTC3998;JPNS3622;;;;;;
891;JCTC6908;JPNS3632;;;;;;
892;JPNS1611;JPNS3633;;;;;;
893;JPNS2611;JPNS3650;;;;;;
894;JPNS2670;JPNS3673;;;;;;
895;JPNS3002;JPNS3998;;;;;;
896;JPNS3611;KRNS1622;;;;;;
897;JPNS3621;KRNS2622;;;;;;
898;JPNS3631;KRNS3622;;;;;;
899;JPNS3998;KRNS3624;;;;;;
900;KRNS1621;KRNS3675;;;;;;
901;KRNS2621;KRNS3998;;;;;;
902;KRNS2641;LATN1601;;;;;;
903;KRNS2673;LATN2601;;;;;;
904;KRNS3621;LATN2621;;;;;;
905;KRNS3623;LATN3601;;;;;;
906;KRNS3998;LATN3602;;;;;;
907;LATN1600;LATN3605;;;;;;
908;LATN2600;LATN3606;;;;;;
909;LATN2620;LATN3998;;;;;;
910;LATN3603;LATN7202;;;;;;
911;LATN3604;LAWS7001;;;;;;
912;LATN3611;LIFE4888;;;;;;
913;LATN3998;LNGS1002;;;;;;
914;LATN7201;LNGS2624;;;;;;
915;LAWS6077;LNGS2628;;;;;;
916;LIFE4000;LNGS3605;;;;;;
917;LIFE4101;LNGS3608;;;;;;
918;LNGS1001;LNGS3612;;;;;;
919;LNGS2601;LNGS3696;;;;;;
920;LNGS2611;LNGS3700;;;;;;
921;LNGS2617;LNGS3998;;;;;;
922;LNGS2627;MARS4103;;;;;;
923;LNGS3609;MARS4104;;;;;;
924;LNGS3610;MARS4105;;;;;;
925;LNGS3701;MARS4106;;;;;;
926;LNGS3702;MARS4107;;;;;;
927;LNGS3704;MARS4108;;;;;;
928;LNGS3998;MATH1004;;;;;;
929;LNGS5000;MATH1005;;;;;;
930;LNGS5001;MATH1013;;;;;;
931;MARS3888;MATH1014;;;;;;
932;MARS4103;MATH1021;;;;;;
933;MARS4104;MATH1023;;;;;;
934;MARS4105;MATH1064;;;;;;
935;MARS4106;MATH1115;;;;;;
936;MARS4107;MATH1904;;;;;;
937;MARS4108;MATH1905;;;;;;
938;MARS5001;MATH1923;;;;;;
939;MARS5009;MATH1933;;;;;;
940;MATH1002;MATH2023;;;;;;
941;MATH1005;MATH2070;;;;;;
942;MATH1011;MATH2088;;;;;;
943;MATH1021;MATH2923;;;;;;
944;MATH1023;MATH2970;;;;;;
945;MATH1902;MATH2988;;;;;;
946;MATH1921;MATH3061;;;;;;
947;MATH1931;MATH3075;;;;;;
948;MATH2021;MATH3078;;;;;;
949;MATH2022;MATH3888;;;;;;
950;MATH2069;MATH3968;;;;;;
951;MATH2921;MATH3969;;;;;;
952;MATH2922;MATH3975;;;;;;
953;MATH3063;MATH3977;;;;;;
954;MATH3066;MATH3978;;;;;;
955;MATH3076;MATH4068;;;;;;
956;MATH3961;MATH4069;;;;;;
957;MATH3962;MATH4077;;;;;;
958;MATH3963;MATH4078;;;;;;
959;MATH3971;MATH4311;;;;;;
960;MATH3974;MATH4312;;;;;;
961;MATH3976;MATH4315;;;;;;
962;MATH3979;MATH4412;;;;;;
963;MATH4061;MATH4414;;;;;;
964;MATH4062;MATH4512;;;;;;
965;MATH4063;MATH4513;;;;;;
966;MATH4071;MATH5330;;;;;;
967;MATH4074;MATH5331;;;;;;
968;MATH4076;MATH5340;;;;;;
969;MATH4079;MATH5341;;;;;;
970;MATH4313;MATH5420;;;;;;
971;MATH4314;MATH5421;;;;;;
972;MATH4411;MATH5431;;;;;;
973;MATH4413;MATH5551;;;;;;
974;MATH4511;MCGY1031;;;;;;
975;MATH5311;MCGY2601;;;;;;
976;MATH5320;MCGY2611;;;;;;
977;MATH5321;MCGY3602;;;;;;
978;MATH5410;MCGY3639;;;;;;
979;MATH5411;MCGY5111;;;;;;
980;MCGY1030;MCGY5112;;;;;;
981;MCGY2612;MCGY5604;;;;;;
982;MCGY2613;MCHM3888;;;;;;
983;MCGY3604;MCHM4103;;;;;;
984;MCGY3629;MCHM4104;;;;;;
985;MCGY3630;MCHM4105;;;;;;
986;MCGY3636;MCHM4106;;;;;;
987;MCGY5111;MCHM4107;;;;;;
988;MCGY5112;MCHM4108;;;;;;
989;MCGY5600;MECH2400;;;;;;
990;MCGY5601;MECH2401;;;;;;
991;MCGY5602;MECH8265;;;;;;
992;MCGY5603;MECH8720;;;;;;
993;MCGY5605;MEDS2004;;;;;;
994;MCHM3001;MEDS2005;;;;;;
995;MCHM3901;MEDS3888;;;;;;
996;MCHM4103;MGRK1602;;;;;;
997;MCHM4104;MGRK2602;;;;;;
998;MCHM4105;MGRK3001;;;;;;
999;MCHM4106;MGRK3002;;;;;;
1000;MCHM4107;MGRK3607;;;;;;
1001;MCHM4108;MGRK3633;;;;;;
1002;MECH5311;MGRK3841;;;;;;
1003;MEDS1001;MGRK3998;;;;;;
1004;MEDS2001;MICR3052;;;;;;
1005;MEDS2002;MICR3888;;;;;;
1006;MEDS2003;MICR3952;;;;;;
1007;MEDS3001;MICR4103;;;;;;
1008;MGRK1601;MICR4104;;;;;;
1009;MGRK2601;MICR4105;;;;;;
1010;MGRK2603;MICR4106;;;;;;
1011;MGRK3603;MICR4107;;;;;;
1012;MGRK3604;MICR4108;;;;;;
1013;MGRK3605;MIMI2002;;;;;;
1014;MGRK3841;MIMI2902;;;;;;
1015;MGRK3998;MKTG1001;;;;;;
1016;MICR2031;MKTG1002;;;;;;
1017;MICR2931;MKTG2112;;;;;;
1018;MICR3021;MKTG3112;;;;;;
1019;MICR3921;MKTG3114;;;;;;
1020;MICR4103;MKTG3118;;;;;;
1021;MICR4104;MKTG3120;;;;;;
1022;MICR4105;MTRX1702;;;;;;
1023;MICR4106;MTRX1705;;;;;;
1024;MICR4107;MUSC1501;;;;;;
1025;MICR4108;MUSC1503;;;;;;
1026;MKTG1001;MUSC1504;;;;;;
1027;MKTG1002;MUSC1506;;;;;;
1028;MKTG2112;MUSC1604;;;;;;
1029;MKTG2113;MUSC2638;;;;;;
1030;MKTG3110;MUSC2644;;;;;;
1031;MKTG3116;MUSC2654;;;;;;
1032;MKTG3121;MUSC2672;;;;;;
1033;MKTG3122;MUSC2675;;;;;;
1034;MTRX2700;MUSC2693;;;;;;
1035;MTRX8700;MUSC3603;;;;;;
1036;MUED1009;MUSC3609;;;;;;
1037;MUSC1503;MUSC3629;;;;;;
1038;MUSC1504;MUSC3631;;;;;;
1039;MUSC1507;MUSC3699;;;;;;
1040;MUSC2614;MUSC4214;;;;;;
1041;MUSC2645;NANO2002;;;;;;
1042;MUSC2648;NANO4103;;;;;;
1043;MUSC2653;NANO4104;;;;;;
1044;MUSC2666;NANO4105;;;;;;
1045;MUSC2695;NANO4106;;;;;;
1046;MUSC3610;NANO4888;;;;;;
1047;MUSC3630;NEUR3003;;;;;;
1048;MUSC3639;NEUR3004;;;;;;
1049;MUSC3641;NEUR3903;;;;;;
1050;MUSC4214;NEUR3904;;;;;;
1051;NANO4001;NEUR4001;;;;;;
1052;NANO4103;NEUR4103;;;;;;
1053;NANO4104;NEUR4104;;;;;;
1054;NANO4105;NEUR4105;;;;;;
1055;NANO4106;NEUR4106;;;;;;
1056;NEUR3005;NEUR4107;;;;;;
1057;NEUR3006;NEUR4108;;;;;;
1058;NEUR3905;NUTM3888;;;;;;
1059;NEUR3906;OLES1602;;;;;;
1060;NEUR4103;OLES2107;;;;;;
1061;NEUR4104;OLES2210;;;;;;
1062;NEUR4105;OLET1115;;;;;;
1063;NEUR4106;OLET1135;;;;;;
1064;NEUR4107;OLET1231;;;;;;
1065;NEUR4108;OLET1401;;;;;;
1066;NUTM3001;OLET1501;;;;;;
1067;OLES2129;OLET1504;;;;;;
1068;OLES2210;OLET1506;;;;;;
1069;OLET1133;OLET1510;;;;;;
1070;OLET1135;OLET1514;;;;;;
1071;OLET1137;OLET1605;;;;;;
1072;OLET1301;OLET1616;;;;;;
1073;OLET1303;OLET1622;;;;;;
1074;OLET1305;OLET1652;;;;;;
1075;OLET1307;OLET1672;;;;;;
1076;OLET1309;OLET1801;;;;;;
1077;OLET1311;OLET1803;;;;;;
1078;OLET1403;OLET1811;;;;;;
1079;OLET1404;OLET2107;;;;;;
1080;OLET1405;OLET2109;;;;;;
1081;OLET1501;OLET2110;;;;;;
1082;OLET1504;OLET2120;;;;;;
1083;OLET1508;OLET2123;;;;;;
1084;OLET1510;OLET2125;;;;;;
1085;OLET1512;OLET2136;;;;;;
1086;OLET1616;OLET2401;;;;;;
1087;OLET1622;OLET2502;;;;;;
1088;OLET1652;OLET2701;;;;;;
1089;OLET1672;OLET2801;;;;;;
1090;OLET1801;OLET5811;;;;;;
1091;OLET1803;OLET5902;;;;;;
1092;OLET1811;PATH4103;;;;;;
1093;OLET2109;PATH4104;;;;;;
1094;OLET2123;PATH4105;;;;;;
1095;OLET2125;PATH4106;;;;;;
1096;OLET2151;PATH4107;;;;;;
1097;OLET2701;PATH4108;;;;;;
1098;OLET5801;PCOL2022;;;;;;
1099;PATH4103;PCOL2922;;;;;;
1100;PATH4104;PCOL3022;;;;;;
1101;PATH4105;PCOL3888;;;;;;
1102;PATH4106;PCOL3922;;;;;;
1103;PATH4107;PCOL4103;;;;;;
1104;PATH4108;PCOL4104;;;;;;
1105;PCOL2021;PCOL4105;;;;;;
1106;PCOL3011;PCOL4106;;;;;;
1107;PCOL3012;PCOL4107;;;;;;
1108;PCOL3911;PCOL4108;;;;;;
1109;PCOL3912;PERF2605;;;;;;
1110;PCOL4103;PERF3607;;;;;;
1111;PCOL4104;PERF3609;;;;;;
1112;PCOL4105;PERF3640;;;;;;
1113;PCOL4106;PERF5600;;;;;;
1114;PCOL4107;PERF5610;;;;;;
1115;PCOL4108;PHIL1012;;;;;;
1116;PERF2604;PHIL1013;;;;;;
1117;PERF3606;PHIL2612;;;;;;
1118;PERF3608;PHIL2613;;;;;;
1119;PERF3640;PHIL2617;;;;;;
1120;PERF5600;PHIL2618;;;;;;
1121;PHAR6000;PHIL2621;;;;;;
1122;PHIL1011;PHIL2635;;;;;;
1123;PHIL2607;PHIL2642;;;;;;
1124;PHIL2610;PHIL2643;;;;;;
1125;PHIL2615;PHIL2646;;;;;;
1126;PHIL2619;PHIL2647;;;;;;
1127;PHIL2622;PHIL2648;;;;;;
1128;PHIL2623;PHIL2658;;;;;;
1129;PHIL2634;PHIL2661;;;;;;
1130;PHIL2640;PHIL2670;;;;;;
1131;PHIL2645;PHIL2672;;;;;;
1132;PHIL2655;PHIL2674;;;;;;
1133;PHIL2663;PHIL3605;;;;;;
1134;PHIL2675;PHIL3610;;;;;;
1135;PHIL2678;PHIL3640;;;;;;
1136;PHIL2679;PHIL3643;;;;;;
1137;PHIL2680;PHIL3651;;;;;;
1138;PHIL3608;PHIL3677;;;;;;
1139;PHIL3609;PHIL3681;;;;;;
1140;PHIL3611;PHIL3998;;;;;;
1141;PHIL3613;PHIL6102;;;;;;
1142;PHIL3615;PHIL6106;;;;;;
1143;PHIL3639;PHIL6109;;;;;;
1144;PHIL3655;PHSI2008;;;;;;
1145;PHIL3662;PHSI2908;;;;;;
1146;PHIL3998;PHSI3012;;;;;;
1147;PHIL6103;PHSI3888;;;;;;
1148;PHIL6108;PHSI3912;;;;;;
1149;PHIL6110;PHSI4103;;;;;;
1150;PHIL6111;PHSI4104;;;;;;
1151;PHIL6112;PHSI4105;;;;;;
1152;PHSI2007;PHSI4106;;;;;;
1153;PHSI2907;PHSI4107;;;;;;
1154;PHSI3009;PHSI4108;;;;;;
1155;PHSI3010;PHYS1003;;;;;;
1156;PHSI3909;PHYS1004;;;;;;
1157;PHSI3910;PHYS1902;;;;;;
1158;PHSI4103;PHYS1904;;;;;;
1159;PHSI4104;PHYS2012;;;;;;
1160;PHSI4105;PHYS2013;;;;;;
1161;PHSI4106;PHYS2912;;;;;;
1162;PHSI4107;PHYS2913;;;;;;
1163;PHSI4108;PHYS2922;;;;;;
1164;PHYS1001;PHYS2923;;;;;;
1165;PHYS1002;PHYS3025;;;;;;
1166;PHYS1901;PHYS3035;;;;;;
1167;PHYS1903;PHYS3037;;;;;;
1168;PHYS2011;PHYS3888;;;;;;
1169;PHYS2911;PHYS3925;;;;;;
1170;PHYS2921;PHYS3935;;;;;;
1171;PHYS3015;PHYS3937;;;;;;
1172;PHYS3034;PHYS4015;;;;;;
1173;PHYS3036;PHYS4016;;;;;;
1174;PHYS3888;PHYS4037;;;;;;
1175;PHYS3915;PHYS4103;;;;;;
1176;PHYS3934;PHYS4104;;;;;;
1177;PHYS3936;PHYS4105;;;;;;
1178;PHYS4017;PHYS4106;;;;;;
1179;PHYS4036;PHYS4123;;;;;;
1180;PHYS4103;PHYS4124;;;;;;
1181;PHYS4104;PHYS4126;;;;;;
1182;PHYS4105;PHYS4888;;;;;;
1183;PHYS4106;PHYS5005;;;;;;
1184;PHYS4121;PHYS5006;;;;;;
1185;PHYS4122;PHYS5018;;;;;;
1186;PHYS4125;PHYS5020;;;;;;
1187;PHYS5002;PHYS5032;;;;;;
1188;PHYS5011;PHYS5033;;;;;;
1189;PHYS5012;PHYS5034;;;;;;
1190;PHYS5029;PHYS5123;;;;;;
1191;PHYS5031;PHYS5124;;;;;;
1192;PHYS5032;PHYS5126;;;;;;
1193;PHYS5033;PMAT4103;;;;;;
1194;PHYS5121;PMAT4104;;;;;;
1195;PHYS5122;PMAT4105;;;;;;
1196;PHYS5125;PMAT4106;;;;;;
1197;PMAT4103;PMGT1711;;;;;;
1198;PMAT4104;PMGT1852;;;;;;
1199;PMAT4105;PMGT2821;;;;;;
1200;PMAT4106;PMGT2822;;;;;;
1201;PMGT2711;PMGT2854;;;;;;
1202;PMGT5875;PMGT5876;;;;;;
1203;PMGT5898;PMGT5879;;;;;;
1204;PMGT6871;PMGT5896;;;;;;
1205;PMGT6872;PMGT6873;;;;;;
1206;PRFM1601;PMGT6891;;;;;;
1207;PRFM2601;PRFM1602;;;;;;
1208;PRFM3603;PRFM1603;;;;;;
